HOST,seq_num,is_image,add_orderid,add_side,add_price,add_qty,add_position,update_orderid,update_side,update_price,update_qty,update_position,delete_orderid,delete_side,trade_orderid,trade_side,trade_qty,trade_price
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181281801058330000,BUY,0.182,10000,205,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181281801057510000,BUY,0.186,200000,203,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7180885976871670000,BUY,0.188,3000,202,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569750000,BUY,0.193,5000,201,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7183656746173650000,BUY,0.2,50000,200,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449429400000,BUY,0.255,80000,91,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244550000,BUY,0.255,100000,87,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103350000,BUY,0.235,500000,169,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244220000,BUY,0.255,2450000,85,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244210000,BUY,0.255,902000,83,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855942420000,BUY,0.255,403600,75,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449429690000,BUY,0.255,30000,93,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181281801057630000,BUY,0.255,7000,81,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394546060000,BUY,0.255,20000,96,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7177500580569470000,BUY,0.24,210000,144,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207570000000,BUY,0.25,200000,119,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7179302680127440000,BUY,0.255,100000,77,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570359740000,BUY,0.26,20000,64,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855942180000,BUY,0.25,20000,114,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218731790000,BUY,0.255,100,97,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218731490000,BUY,0.26,1000000,68,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545560000,BUY,0.26,30000,67,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449429390000,BUY,0.26,5000,57,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103350000,BUY,0.235,1000000,170,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244690000,BUY,0.255,150000,88,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181281801057570000,BUY,0.255,20000,80,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449429380000,BUY,0.255,30000,90,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449430020000,BUY,0.26,150000,60,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855942420000,BUY,0.255,600200,76,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7177500580569490000,BUY,0.22,500000,189,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207570770000,BUY,0.225,225000,185,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449429420000,BUY,0.26,100000,58,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244220000,BUY,0.255,170300,84,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570360830000,BUY,0.265,2500,29,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449429380000,BUY,0.26,50000,55,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570361060000,BUY,0.265,902000,30,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7183042943807660000,BUY,0.245,38000,142,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244880000,BUY,0.26,279600,49,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244840000,BUY,0.26,1000000,46,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545580000,BUY,0.255,5000,95,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983104210000,BUY,0.27,300000,15,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569710000,BUY,0.24,150000,146,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244880000,BUY,0.26,253900,48,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218731620000,BUY,0.26,50000,69,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855941410000,BUY,0.23,30000,174,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855941410000,BUY,0.24,30000,150,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7183042943807210000,BUY,0.26,902000,62,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7180885976871600000,BUY,0.26,100000,54,,BUY,,,,,BUY,,BUY,,
